State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
NY,36,21540,Fire Island Union Free School District,Suffolk County,103
NY,36,11100,Fishers Island Union Free School District,Suffolk County,103
NY,36,11160,Floral Park-Bellerose Union Free School District,Nassau County,059
NY,36,25320,Florida Union Free School District,Orange County,071
NY,36,11190,Fonda-Fultonville Central School District,Fulton County,035
NY,36,11190,Fonda-Fultonville Central School District,Montgomery County,057
NY,36,11190,Fonda-Fultonville Central School District,Schoharie County,095
NY,36,11250,Forestville Central School District,Cattaraugus County,009
NY,36,11250,Forestville Central School District,Chautauqua County,013
NY,36,11280,Fort Ann Central School District,Washington County,115
NY,36,11310,Fort Edward Union Free School District,Washington County,115
NY,36,11370,Fort Plain Central School District,Fulton County,035
NY,36,11370,Fort Plain Central School District,Herkimer County,043
NY,36,11370,Fort Plain Central School District,Montgomery County,057
NY,36,11400,Frankfort-Schuyler Central School District,Herkimer County,043
NY,36,11430,Franklin Central School District,Delaware County,025
NY,36,11430,Franklin Central School District,Otsego County,077
NY,36,11460,Franklin Square Union Free School District,Nassau County,059
NY,36,11490,Franklinville Central School District,Cattaraugus County,009
NY,36,11520,Fredonia Central School District,Chautauqua County,013
NY,36,11550,Freeport Union Free School District,Nassau County,059
NY,36,11610,Frewsburg Central School District,Cattaraugus County,009
NY,36,11610,Frewsburg Central School District,Chautauqua County,013
NY,36,11640,Friendship Central School District,Allegany County,003
NY,36,11670,Frontier Central School District,Erie County,029
NY,36,11700,Fulton City School District,Oswego County,075
NY,36,11730,Galway Central School District,Fulton County,035
NY,36,11730,Galway Central School District,Montgomery County,057
NY,36,11730,Galway Central School District,Saratoga County,091
NY,36,11730,Galway Central School District,Schenectady County,093
NY,36,11740,Gananda Central School District,Wayne County,117
NY,36,11760,Garden City Union Free School District,Nassau County,059
NY,36,11860,Garrison Union Free School District,Putnam County,079
NY,36,11880,Gates-Chili Central School District,Monroe County,055
NY,36,11910,General Brown Central School District,Jefferson County,045
