Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
This Book Is Gay,"Dawson, Juno",,,,,Massachusetts,Abington Public Schools,Oct-22,Banned Pending Investigation,Formal Challenge
Identical,"Hopkins, Ellen",,,,,Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
Lucky,"Sebold, Alice",,,,,Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
Push,Sapphire,,,,,Colorado,Academy School District 20,May-23,Banned Pending Investigation,Informal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",,,,,North Carolina,Alamance-Burlington School District,Sep-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
All Boys Aren't Blue,"Johnson, George M.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Breathless,"Niven, Jennifer",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Crank,"Hopkins, Ellen",,,,Crank,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Damsel,"Arnold, Elana K.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Daughters Unto Devils,"Lukavics, Amy",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Fade,"McMann, Lisa",,,,Wake,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Fallout,"Hopkins, Ellen",,,,Crank,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Flamer,"Curato, Mike",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Forever...,"Blume, Judy",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
grl2grl,"Peters, Julie Anne",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Impulse,"Hopkins, Ellen",,,,Impulse,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Lawn Boy,"Evison, Jonathan",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
My Friend Dahmer,"Backderf, Derf",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Out of Darkness,"Pérez, Ashley Hope",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
People Kill People,"Hopkins, Ellen",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Push,Sapphire,,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy","Bieschke, Marke","Robinson, Christopher",,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Red Hood,"Arnold, Elana K.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Shine,"Myracle, Lauren",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Art of Racing in the Rain,"Stein, Garth",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Girl Who Fell from the Sky,"Durrow, Heidi W.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
The Haters,"Andrews, Jesse",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Nowhere Girls,"Reed, Amy",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
This Book Is Gay,"Dawson, Juno",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
Tilt,"Hopkins, Ellen",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
ttfn,"Myracle, Lauren",,,,Internet Girls,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
ttyl,"Myracle, Lauren",,,,Internet Girls,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
Twisted,"Anderson, Laurie Halse",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
We Are the Ants,"Hutchinson, Shaun David",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries,Legislative Action
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Alpine School District,Nov-22,Banned from Libraries and Classrooms,Legislative Action
The Handmaid's Tale,"Atwood, Margaret",,,,,South Carolina,Anderson School District One,Apr-23,Banned Pending Investigation,Informal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",,,,,Florida,Bay District Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Bitterblue,"Cashore, Kristin",,"Schoenherr, Ian",,Graceling Realm,Florida,Bay District Schools,Feb-23,Banned from Libraries,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
A Lesson in Vengeance,"Lee, Victoria",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
All the Things We Do in the Dark,"Mitchell, Saundra",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Almost Perfect,"Katcher, Brian",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Ask the Passengers,"King, A. S.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Beautiful,"Reed, Amy",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Boy Girl Boy,"Koertge, Ron",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Breathless,"Niven, Jennifer",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Burned (EH),"Hopkins, Ellen",,,,Burned,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
City of Heavenly Fire,"Clare, Cassandra",,,,The Mortal Instruments,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Clockwork Princess,"Clare, Cassandra",,,,The Infernal Devices,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Collateral,"Hopkins, Ellen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Confess,"Hoover, Colleen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Cool for the Summer,"Adler, Dahlia",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Crank,"Hopkins, Ellen",,,,Crank,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Damsel,"Arnold, Elana K.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Eleanor & Park,"Rowell, Rainbow",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Fade,"McMann, Lisa",,,,Wake,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Fallout,"Hopkins, Ellen",,,,Crank,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Felix Ever After,"Callender, Kacen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Flamer,"Curato, Mike",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Forever for a Year,"Gottfred, B. T.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Foul is Fair,"Capin, Hannah",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Glass,"Hopkins, Ellen",,,,Crank,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Go Ask Alice,"Sparks, Beatrice",Anonymous,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Grit,"French, Gillian",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
grl2grl,"Peters, Julie Anne",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Grown,"Jackson, Tiffany D.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Hopeless,"Hoover, Colleen",,,,Hopeless,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
I'll Give You the Sun,"Nelson, Jandy",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Identical,"Hopkins, Ellen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Impulse,"Hopkins, Ellen",,,,Impulse,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
It Ends With Us,"Hoover, Colleen",,,,It Ends with Us,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
Kingdom of Ash,"Maas, Sarah J.",,,,Throne of Glass,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Layla,"Hoover, Colleen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Leah on the Offbeat,"Albertalli, Becky",,,,Simonverse,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Living Dead Girl,"Scott, Elizabeth",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Lolita,"Nabokov, Vladimir",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Looking for Alaska,"Green, John",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Lucky,"Sebold, Alice",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Milk and Honey,"Kaur, Rupi",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
More Happy Than Not,"Silvera, Adam",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Nineteen Minutes,"Picoult, Jodi",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
9-Nov,"Hoover, Colleen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Out of Darkness,"Pérez, Ashley Hope",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Perfect,"Hopkins, Ellen",,,,Impulse,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Push,Sapphire,,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Ramona Blue,"Murphy, Julie",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Red at the Bone,"Woodson, Jacqueline",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Rumble,"Hopkins, Ellen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Scars,"Rainfield, Cheryl",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Shine,"Myracle, Lauren",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Skin,"Vrettos, Adrienne Maria",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Smoke,"Hopkins, Ellen",,,,Impulse,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Sold,"McCormick, Patricia",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Speak,"Anderson, Laurie Halse",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Stamped (For Kids): Racism, Antiracism, and You","Reynolds, Jason","Kendi, Ibram X.; Cherry-Paul, Sonja",,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Stamped: Racism, Antiracism, and You","Reynolds, Jason","Kendi, Ibram X.",,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
The Art of Racing in the Rain,"Stein, Garth",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Black Flamingo,"Atta, Dean",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Bluest Eye,"Morrison, Toni",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Hamilton High,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Female of the Species,"McGinnis, Mindy",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Fixer,"Barnes, Jennifer Lynn",,,,The Fixer,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Haters,"Andrews, Jesse",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
The Infinite Moment of Us,"Myracle, Lauren",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Kite Runner,"Hosseini, Khaled",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
The Lovely Bones,"Sebold, Alice",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
The Truth About Alice: A Novel,"Mathieu, Jennifer",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
The You I've Never Known,"Hopkins, Ellen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Tilt,"Hopkins, Ellen",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Tower of Dawn,"Maas, Sarah J.",,,,Throne of Glass,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Tricks,"Hopkins, Ellen",,,,Tricks,South Carolina,Beaufort County School District,Oct-22,Banned from Libraries,Informal Challenge
Water for Elephants,"Gruen, Sara",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Wintergirls,"Anderson, Laurie Halse",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Yolk,"Choi, Mary H.K.",,,,,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
yolo,"Myracle, Lauren",,,,Internet Girls,South Carolina,Beaufort County School District,Oct-22,Banned Pending Investigation,Informal Challenge
Looking for Alaska,"Green, John",,,,,Michigan,Belding Area Schools,Apr-23,Banned from Libraries,Administration
After,"Efaw, Amy",,,,,Texas,Belton Independent School District,Sep-22,Banned Pending Investigation,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Texas,Belton Independent School District,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
Kiss Number 8,"Venable, Colleen A. F.",,"Crenshaw, Ellen T.",,,Texas,Belton Independent School District,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
Milk and Honey,"Kaur, Rupi",,,,,Texas,Belton Independent School District,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
The Nowhere Girls,"Reed, Amy",,,,,Texas,Belton Independent School District,Oct-22,Banned Pending Investigation,Formal Challenge
The Sun and Her Flowers,"Kaur, Rupi",,,,,Texas,Belton Independent School District,Jan-23,Banned Pending Investigation,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Texas,Belton Independent School District,Sep-22,Banned Pending Investigation,Formal Challenge
13 Art Inventions Children Show Know,"Heine, Florian",,,,13... Children Should Know,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
A Child Was Born: A Christmas Story,"Maccarone, Grace",,"Williams, Sam",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
A Child's First Bible,"Stoddard, Sandol",,"Chen, Tony",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
A Child's Story of Christmas,"Williams, Karin",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
A Family of Poems: My Favorite Poetry for Children,"Kennedy, Caroline",,"Muth, John J.",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
A Medieval Cathedral,"Macdonald, Fiona",,"James, John",,Inside Story,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Aardvarks, Disembark!","Jonas, Ann",,,,Picture Puffins,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Adam and Eve and the Garden of Eden,"Ray, Jane",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Ancient Assyria,"Tracy, Kathy",,,,Explore Ancient Worlds,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Animals of the Bible,"Fish, Helen Dean",,"Lathrop, Dorothy P.",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Anne Hutchinson,"Aller, Susan Bivin",,,,History Maker Bios,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Baby Moses,"Hayward, Linda",,"Henry, Barb",,Step into Reading,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Baton Twirling is for Me,"Hawkins, Jim W.",,,,Sports for Me Books,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Bats, Cats, and Rats","Miller, Dave",,,,A.P. Readers Learn to Read,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Bible ABC,"Metaxas, Eric",,"Harris, Jim",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Bible Lands,"Tubb, Jonathan N.",,,,DK Eyewitness Books,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Bible Questions & Answers,"Pickering, David",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Bible Stories for Children,"Parker, Victoria","Dyson, Janet",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Book of Bible Stories: New International Version,"DePaola, Tomie",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"Chicken Soup for the Teenage Soul: 101 Stories of Life, Love, and Learning","Canfield, Jack","Hansen, Mark Victor; Kirberger, Kimberly",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Children's Bible Stories from Genesis to Daniel,"Chaikin, Miriam",,"Gilbert, Anne Yvonne",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Children's Stories from the Bible,"Pirotta, Saviour",,"Gilbert, Anne Yvonne; Andrew, Ian",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Christmas in the Barn,"Brown, Margaret Wise",,"Goode, Diane",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
David and Goliath (CS),"Storr, Catherine",,"Molan, Chris",,People of the Bible,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
David and Goliath (LF),"Fisher, Leonard Everett",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
David and Goliath (MA),"Auld, Mary",,"Mayo, Diana",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
David and the Giant,"Little, Emily",,,,Step into Reading,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Detective Dan and the Puzzling Pizza Mystery,"Roland, Timothy",,,,Detective Dan,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Deuteronomy: The Jewish Children's Bible,"Prenzlau, Sheryl",,"Smekhov, Zely",,Jewish Children's Bible,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Esther's Story,"Wolkstein, Diane",,"Wijngaard, Juan",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Every Day with God: A Child's Daily Bible (Selections from the International Children's Bible),"Nichols, Doris","Nichols, Roy","Padgett, Jim",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Exodus (BW),"Wildsmith, Brian",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Exodus: The Jewish Children's Bible,"Prenzlau, Sheryl",,"Smekhov, Zely; Guberman, Lena",,Jewish Children's Bible,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Extreme Faith: Twelve Radical Young Believers from the Bible Who Changed Our World,"Baker, Tim",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Genesis: The Jewish Children's Bible,"Prenzlau, Sheryl",,"Smekhov, Zely",,Jewish Children's Bible,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
"George Washington Carver, What Do You See?","Benge, Janet","Benge, Geoff","James, Kennon",,Another Great Achiever,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
God Sent a Rainbow and Other Bible Stories,"Zeldis, Yona",,"Zeldis, Malcah",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
God's Best Promises for Kids,"Thomas, Mack",,"Davis, Dennas",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
God's People: Stories from the Old Testament,"McCaughrean, Geraldine",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
God's Story,"Mark, Jan",,"Parkins, David",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Grand Canyon: A Different View,"Vail, Tom",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Hands-On Bible,Tyndale House,,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Hero Tales: A Family Treasury of True Stories from the Lives of Christian Heroes,"Jackson, Dave","Jackson, Neta",,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Home Body,"Kaur, Rupi",,,,,Florida,Brevard Public Schools,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
"Hymns for a Kid's Heart, Vol. 1","Wolgemuth, Bobbie","Tada, Joni Eareckson","Martinez, Sergio",,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
I Never,"Hopper, Laura",,,,,Florida,Brevard Public Schools,Nov-22,Banned Pending Investigation,Formal Challenge
International Children's Story Bible,"Hollingsworth, Mary",,,,,Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
